h3_id,statut
8f18716e484011e,Marchable
8f18716e47756db,Obstacle
8f18716e4844b9e,Marchable
8f18716e407480b,Marchable
8f18716e415d576,Marchable
8f18716e4628b6b,Marchable
8f18716e41618a8,Marchable
8f18716e4bb44d1,Marchable
8f18716e48e9269,Marchable
8f18716e47669b3,Marchable
8f18716e415b3ac,Marchable
8f18716e40ce8f1,Marchable
8f18716e48626dd,Obstacle
8f18716e40d92b0,Marchable
8f18716e4b96991,Obstacle
8f18716e415b8a9,Obstacle
8f18716e4143160,Marchable
8f18716e4753a20,Marchable
8f18716e415c642,Marchable
8f18716e4b96c46,Obstacle
8f18716e41450ad,Marchable
8f18716e4773b55,Marchable
8f18716e40d90c4,Marchable
8f18716e48608a0,Marchable
8f18716e4145855,Marchable
8f18716e40ecc24,Marchable
8f18716e48cb2c8,Marchable
8f18716e4bb2a30,Marchable
8f18716e40c52f1,Marchable
8f18716e4628d00,Obstacle
8f18716e4bb6a58,Marchable
8f18716e4755d6a,Marchable
8f18716e4161784,Marchable
8f18716e40ea616,Marchable
8f18716e4863521,Marchable
8f18716e484499a,Obstacle
8f18716e41602ed,Marchable
8f18716e475078c,Marchable
8f18716e4840489,Marchable
8f18716e4165663,Marchable
8f18716e48e98c3,Marchable
8f18716e4773aaa,Marchable
8f18716e484091a,Marchable
8f18716e4755853,Marchable
8f18716e4751c9c,Marchable
8f18716e4842270,Marchable
8f18716e48434de,Marchable
8f18716e41617ab,Marchable
8f18716e4864a09,Marchable
8f18716e4144346,Obstacle
8f18716e484661d,Marchable
8f18716e494b4c2,Marchable
8f18716e4843711,Marchable
8f18716e414570d,Marchable
8f18716e4860b24,Obstacle
8f18716e407410b,Marchable
8f18716e48ebb6b,Marchable
8f18716e48e93a2,Marchable
8f18716e4851a22,Marchable
8f18716e4840400,Marchable
8f18716e47539a9,Marchable
8f18716e40e8582,Marchable
8f18716e485ac10,Marchable
8f18716e4860b9a,Obstacle
8f18716e48ed328,Marchable
8f18716e486381a,Marchable
8f18716e40caca2,Marchable
8f18716e48c94cb,Marchable
8f18716e48ed215,Marchable
8f18716e4158968,Marchable
8f18716e4bb6ccd,Marchable
8f18716e4056173,Marchable
8f18716e4bb26e9,Marchable
8f18716e415c019,Marchable
8f18716e4056135,Marchable
8f18716e485b518,Marchable
8f18716e414e5a9,Marchable
8f18716e47754f0,Marchable
8f18716e407218d,Marchable
8f18716e41406c4,Marchable
8f18716e414114c,Marchable
8f18716e4073962,Marchable
8f18716e4773858,Marchable
8f18716e486599a,Marchable
8f18716e4865910,Obstacle
8f18716e4858780,Marchable
8f18716e41582b1,Marchable
8f18716e40d9125,Marchable
8f18716e4bb60db,Marchable
8f18716e40ddb6c,Marchable
8f18716e407559e,Marchable
8f18716e4755148,Marchable
8f18716e48ed254,Marchable
8f18716e40c32d4,Marchable
8f18716e4865442,Marchable
8f18716e4860568,Marchable
8f18716e40ce91b,Marchable
8f18716e4bb6310,Marchable
8f18716e41637b2,Marchable
8f18716e48619ab,Marchable
8f18716e4764d51,Marchable
8f18716e40706b5,Marchable
8f18716e48451a1,Marchable
8f18716e462d059,Marchable
8f18716e415d998,Marchable
8f18716e4844acb,Marchable
8f18716e40ddae8,Marchable
8f18716e4160229,Marchable
8f18716e462d616,Marchable
8f18716e485c8a4,Marchable
8f187160b496580,Marchable
8f18716e407362d,Marchable
8f18716e4842408,Marchable
8f18716e40ca513,Marchable
8f18716e4158499,Marchable
8f18716e4bb66ad,Marchable
8f18716e4bb629e,Marchable
8f18716e4863cdd,Marchable
8f18716e4165419,Marchable
8f18716e40ecd18,Marchable
8f18716e48622ec,Marchable
8f18716e4861d02,Marchable
8f18716e4165aae,Marchable
8f18716e4163ae6,Marchable
8f18716e47664e8,Marchable
8f18716e485c825,Marchable
8f18716e40ec54d,Marchable
8f18716e485eb0e,Marchable
8f18716e48cdb28,Marchable
8f18716e48e9b86,Marchable
8f18716e4865071,Marchable
8f18716e40ec4b0,Marchable
8f18716e4774245,Marchable
8f18716e4141591,Marchable
8f18716e4074d66,Marchable
8f18716e462c219,Marchable
8f18716e415e269,Marchable
8f18716e415866c,Obstacle
8f18716e4070013,Marchable
8f18716e40520da,Marchable
8f18716e4775b10,Marchable
8f18716e414176d,Marchable
8f18716e4865405,Marchable
8f18716e4851a03,Marchable
8f18716e40c12cb,Marchable
8f18716e4b94190,Marchable
8f18716e4753444,Marchable
8f18716e475502b,Marchable
8f18716e4056710,Marchable
8f18716e4072080,Marchable
8f18716e416188c,Marchable
8f18716e4073d10,Marchable
8f18716e462c78c,Marchable
8f18716e485e81b,Marchable
8f18716e4074903,Marchable
8f18716e41617b0,Marchable
8f18716e41636e5,Marchable
8f18716e475192a,Marchable
8f18716e4bb6341,Marchable
8f18716e485a820,Marchable
8f18716e4755818,Marchable
8f18716e4843683,Marchable
8f18716e4070082,Marchable
8f18716e474691a,Marchable
8f18716e4bb6cd9,Marchable
8f18716e4766d9d,Marchable
8f18716e40706da,Marchable
8f18716e4bb2c2e,Marchable
8f18716e40ecd5a,Marchable
8f18716e4076b8b,Marchable
8f18716e47502cb,Marchable
8f18716e485858a,Marchable
8f18716e485cd0e,Marchable
8f18716e416312c,Marchable
8f18716e40ec059,Marchable
8f18716e40e104e,Marchable
8f18716e4b96a70,Marchable
8f18716e40dda4d,Marchable
8f18716e40c1259,Marchable
8f18716e4775ab4,Marchable
8f18716e4bb24a1,Marchable
8f18716e485a498,Marchable
8f18716e4165a42,Marchable
8f18716e415c170,Marchable
8f18716e4bb4699,Marchable
8f18716e4865d36,Marchable
8f18716e4840b11,Marchable
8f18716e40ec32c,Marchable
8f18716e41438c9,Marchable
8f18716e4860658,Marchable
8f18716e40ea0d4,Marchable
8f18716e40ea229,Marchable
8f18716e485e2b4,Marchable
8f18716e4775640,Marchable
8f18716e4158183,Marchable
8f18716e41636e4,Marchable
8f18716e40cacad,Marchable
8f18716e405471d,Marchable
8f18716e40e1a06,Marchable
8f18716e485c968,Marchable
8f18716e4bb228e,Marchable
8f18716e40cac84,Marchable
8f18716e477169c,Marchable
8f18716e4052af0,Marchable
8f18716e4050426,Marchable
8f18716e485e666,Marchable
8f18716e48e9263,Marchable
8f18716e48e9665,Marchable
8f18716e4141c70,Marchable
8f18716e4bb29ac,Marchable
8f18716e4860965,Marchable
8f18716e4145060,Marchable
8f18716e475039c,Marchable
8f18716e4072a49,Marchable
8f18716e4861d45,Marchable
8f18716e416ec16,Marchable
8f18716e4145c85,Marchable
8f18716e462d735,Marchable
8f18716e40c849e,Marchable
8f18716e48635a1,Marchable
8f18716e415815a,Marchable
8f18716e48512e5,Marchable
8f18716e4773b90,Marchable
8f18716e40cac62,Marchable
8f18716e48c91a1,Marchable
8f18716e40eea81,Marchable
8f18716e4753099,Marchable
8f18716e484519b,Marchable
8f18716e4161974,Marchable
8f18716e4844553,Marchable
8f18716e4145c4e,Marchable
8f18716e485e96e,Marchable
8f18716e48c9ba8,Marchable
8f18716e4052829,Marchable
8f18716e4b96736,Obstacle
8f18716e4145162,Marchable
8f18716e4628945,Marchable
8f18716e47500ad,Marchable
8f18716e40c12dd,Marchable
8f18716e48e90d3,Marchable
8f18716e485ab36,Marchable
8f18716e4054885,Marchable
8f18716e4b96704,Marchable
8f18716e485a06a,Marchable
8f18716e485e153,Obstacle
8f18716e47732e6,Marchable
8f18716e4766536,Marchable
8f18716e4753963,Marchable
8f18716e4070408,Marchable
8f18716e4753a42,Marchable
8f18716e4074b0b,Marchable
8f18716e477198a,Obstacle
8f18716e4750648,Marchable
8f18716e47750cc,Marchable
8f18716e40ca828,Marchable
8f18716e4bb6a8b,Marchable
8f18716e4773336,Marchable
8f18716e40e1008,Marchable
8f18716e4050c2e,Marchable
8f18716e407098b,Marchable
8f18716e48cd909,Marchable
8f18716e407310e,Marchable
8f18716e40748a1,Marchable
8f18716e4773a9c,Marchable
8f18716e475030d,Marchable
8f18716e462d8c6,Marchable
8f18716e40ea793,Marchable
8f18716e4163a53,Marchable
8f18716e4753403,Marchable
8f18716e484044c,Marchable
8f18716e48444db,Marchable
8f18716e494b790,Marchable
8f18716e4165a5c,Marchable
8f18716e4161ac5,Marchable
